[EPOCH]: 0, [LOSS]: 1.169623, [ACCURACY]: 0.300
[EPOCH]: 1, [LOSS]: 1.169009, [ACCURACY]: 0.301
[EPOCH]: 2, [LOSS]: 1.168396, [ACCURACY]: 0.300
[EPOCH]: 3, [LOSS]: 1.167785, [ACCURACY]: 0.300
[EPOCH]: 4, [LOSS]: 1.167174, [ACCURACY]: 0.300
[EPOCH]: 5, [LOSS]: 1.166566, [ACCURACY]: 0.298
[EPOCH]: 6, [LOSS]: 1.165958, [ACCURACY]: 0.298
[EPOCH]: 7, [LOSS]: 1.165352, [ACCURACY]: 0.298
[EPOCH]: 8, [LOSS]: 1.164748, [ACCURACY]: 0.297
[EPOCH]: 9, [LOSS]: 1.164145, [ACCURACY]: 0.297
[EPOCH]: 10, [LOSS]: 1.163543, [ACCURACY]: 0.297
[EPOCH]: 11, [LOSS]: 1.162943, [ACCURACY]: 0.297
[EPOCH]: 12, [LOSS]: 1.162344, [ACCURACY]: 0.296
[EPOCH]: 13, [LOSS]: 1.161747, [ACCURACY]: 0.296
[EPOCH]: 14, [LOSS]: 1.161152, [ACCURACY]: 0.296
[EPOCH]: 15, [LOSS]: 1.160558, [ACCURACY]: 0.296
[EPOCH]: 16, [LOSS]: 1.159965, [ACCURACY]: 0.295
[EPOCH]: 17, [LOSS]: 1.159374, [ACCURACY]: 0.296
[EPOCH]: 18, [LOSS]: 1.158785, [ACCURACY]: 0.295
[EPOCH]: 19, [LOSS]: 1.158197, [ACCURACY]: 0.295
[EPOCH]: 20, [LOSS]: 1.157611, [ACCURACY]: 0.295
[EPOCH]: 21, [LOSS]: 1.157026, [ACCURACY]: 0.295
[EPOCH]: 22, [LOSS]: 1.156443, [ACCURACY]: 0.295
[EPOCH]: 23, [LOSS]: 1.155862, [ACCURACY]: 0.295
[EPOCH]: 24, [LOSS]: 1.155282, [ACCURACY]: 0.295
[EPOCH]: 25, [LOSS]: 1.154704, [ACCURACY]: 0.295
[EPOCH]: 26, [LOSS]: 1.154128, [ACCURACY]: 0.296
[EPOCH]: 27, [LOSS]: 1.153554, [ACCURACY]: 0.295
[EPOCH]: 28, [LOSS]: 1.152980, [ACCURACY]: 0.295
[EPOCH]: 29, [LOSS]: 1.152409, [ACCURACY]: 0.294
[EPOCH]: 30, [LOSS]: 1.151840, [ACCURACY]: 0.294
[EPOCH]: 31, [LOSS]: 1.151272, [ACCURACY]: 0.293
[EPOCH]: 32, [LOSS]: 1.150705, [ACCURACY]: 0.293
[EPOCH]: 33, [LOSS]: 1.150141, [ACCURACY]: 0.293
[EPOCH]: 34, [LOSS]: 1.149578, [ACCURACY]: 0.294
[EPOCH]: 35, [LOSS]: 1.149017, [ACCURACY]: 0.293
[EPOCH]: 36, [LOSS]: 1.148457, [ACCURACY]: 0.293
[EPOCH]: 37, [LOSS]: 1.147899, [ACCURACY]: 0.293
[EPOCH]: 38, [LOSS]: 1.147343, [ACCURACY]: 0.293
[EPOCH]: 39, [LOSS]: 1.146788, [ACCURACY]: 0.293
